"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"HUNTINGTON APARTMENTS SANITARY SEWER TRUNK LINE","TXR15335X","APPROX. .15 MILES SW OF THE LAKEWAY DR AND MEDICAL","COLLEGE STATION","TX",,"77845"
"IBIO CDMO","TXRNEBJ79","8800 HSC PKWY","BRYAN","TX",,"77807"
"IBIO CDMO","TXR05FL35","8800 HSC PKWY","BRYAN","TX",,"77807-1107"
"IHOP - COLLEGE STATION","TXR15017S","SITE IS LOCATED APPROXIMATELY 0.3 MILES NORTHWEST","COLLEGE STATION","TX",,"77845"
"INDOOR TRACK MAKE-READY","TXR1501JJ","956 OLSEN BLVD","COLLEGE STATION","TX",,"77840"
"INTERNATIONAL LEADERSHIP OF TEXAS CHARTER SCHOOLS PORTABLE C","TXR1562DB","3610 LONGMIRE DR","COLLEGE STATION","TX",,"77845-8692"
"JEFF WAGGONER","TXR15837Z","3439 MAHOGANY DR","BRYAN","TX",,"77807"
"JOB 2403 ASPEN","TXR1563QB","4011, 4013, 4015, 4017 ASPEN ST","BRYAN","TX","9","77801"
"JOHN DEERE NURSERY","TXR15840P","10253 STATE 30 HWY","COLLEGE STATION","TX",,"77845"
"JONES CROSSING","TXR15095F","11675 FM 2154","COLLEGE STATION","TX",,"77840"
"KBARC WWTP","TX0135178","6932 FM 1179","BRYAN","TX","09","77808"
"KELSEY SEYBOLD CALL CENTER","TXR1586EX","1150 COPPERFIELD PKWY","COLLEGE STATION","TX",,"77845"
"KINSMEN HOMES","TXR15347M","2932 ARCHER DR","BRYAN","TX",,"77808-1463"
"KMC FORKLIFT","TXR1553FX","6101 E STATE HIGHWAY 21","BRYAN","TX",,"77808"
"KROGER HO-383","TXR1562AN","2303 BOONVILLE RD","BRYAN","TX",,"77808"
"KROGER HO-383 EXPANSION","TXR1525AO","2303 BOONVILLE RD","BRYAN","TX",,"77808-2232"
"KROGER STORE 383","TXR1524CA","2303 BOONVILLE RD","BRYAN","TX",,"77808-2232"
"KRUTEN FARM","TX0051578","E SIDE OF ST HWY 21","KRUTEN","TX","09","00000"
"LACY WELLS SAND & GRAVEL PIT","TXR05ED80","6900 LACY WELL RD","COLLEGE STATION","TX",,"77845"
"LAKEWAY DRIVE EXTENSION","TXR15515F","EXTENSION OF EXISTING LAKEWAY DRIVE THAT IS PARALL","COLLEGE STATION","TX",,"77845"
"LAWSON RESIDENCE","TXR1517EF","4221 TUSCANY CT","BRYAN","TX",,"77802"
"LEADERSHIP TX CHARTER","TXR10F5F4","SOUTH OF BRMINGHAM DR. & GRAHAM ROAD","COLLEGE STATION","TX",,"77845"
"LEADERSHIP TX CHARTER","TXR10F5EY","SOUTH OF BIRMINGHAM DR. AND GRAHAM ROAD","COLLEGE STATION","TX",,"77845"
"LEGENDS EVENT CENTER","TXR1554FG","2533 MIDTOWN PARK BLVD","BRYAN","TX","9","77801-1450"
"LEONARD CROSSING SUBDIVISION","TXR1507AB","APPROX. 1000 FEET SOUTHEAST OF THE INTERSECTION OF","BRYAN","TX",,"77803"
"LEONARD ROAD SUBSTATION","TXR15734O","LEONARD RD BETWEEN FM 2818 AND SH 47","BRYAN","TX",,"77845"
"LIGHT PEDIATRIC DENTISTRY","TXR1513CC","2301 ROCK PRAIRIE RD","COLLEGE STATION","TX",,"77845"
"LINE L8C TO V36","TXR1585JS","WILLIAM D FITCH PKWY AND HIGHWAY 6","COLLEGE STATION","TX",,"77845"
"LIQUIDPOWER SPECIALTY PRODUCTS","TXR15945Q","1331 INDEPENDENCE AVE","BRYAN","TX",,"77803-2046"
"LIQUIDPOWER SPECIALTY PRODUCTS","TXR1542AQ","1331 INDEPENDENCE AVE","BRYAN","TX",,"77803-2046"
"LITTLE RESIDENCE","TXR1522CF","3455 MAHOGANY DR","BRYAN","TX",,"77807"
"LOCATED APPROX 800 FT SE OF N","TX0129658","DOWLING RD APPROX 600 FT SW OF"," BY REVEILLE RD IN BRAZ","TX",,"00000"
"LOT 8 BLOCK 43","TXR1530KP","506 ASH ST","BRYAN","TX",,"77803"
"MACHINE WORKS","TXR05BI60","1590B N HARVEY MITCHELL PKWY","BRYAN","TX",,"77803-2067"
"MACHINE WORKS","TXR05FL51","1590B N HARVEY MITCHELL PKWY","BRYAN","TX",,"77803-2067"
"MAHONEY WWTP","TX0122947","4750' W-SW INTX US RTE 190/FM","BRYAN","TX",,"77805"
"MANOR POINT SUBDIVISION","TXR1532NY","TURN ONTO LUCKY ST FROM HIGHWAY 21. DRIVE DOWN UNT","BRYAN","TX","9","77803"
"MATICA BIOTECHNOLOGY","TXRNECC35","2501 EARL RUDDER FWY S STE200","COLLEGE STATION","TX",,"77845"
"MBG MIDTOWN PARK","TXR1528PO","206 W VILLA MARIA RD","BRYAN","TX","12","77801-3029"
"MCCARTY EQUIPMENT","TXRNEBQ97","4102 HIGHWAY 21 E","BRYAN","TX",,"77808-0941"
"MCMILLAN SWINE FEEDLOT","TX0121398","TERRY COUNTY","BRYAN","TX","02","00000"
"MD WHEELER SUBDIVISION PHASE ONE","TXR15250X","APPROX. 0.18 MILES SOUTHWEST OF THE INTERSECTION A","COLLEGE STATION","TX",,"77845"
"MIDTOWN 104","TXR10F89Q","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN 104","TXR10F89V","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN 105","TXR10F8G4","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN 105","TXR10F8GA","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN CITY CENTER","TXR1519LF","SOUTH OF MCQUEENY DRIVE & TOWN LAKE DRIVE","COLLEGE STATION","TX","9","77845"
"MIDTOWN CITY CENTER","TXR1557LF","SOUTH OF MCQUEENY DRIVE & TOWN LAKE DRIVE","COLLEGE STATION","TX","9","77845"
"MIDTOWN CITY CENTER PHASE 301 - PRIVATE IMPROVEMENTS","TXR1584KM","MIDTOWN CITY CENTER PHASE 301 REPLAT IS LOCATED NO","COLLEGE STATION","TX",,"77845"
"MIDTOWN CITY CENTER PHASE 301 REPLAT","TXR1586HS","MIDTOWN CITY CENTER PHASE 301 REPLAT IS LOCATED NO","COLLEGE STATION","TX",,"77845"
"MIDTOWN CITY CENTER SUBDIVISION PHASE 404A","TXR1514KD","THIS PROJECT IS LOCATED SOUTHWEST OF THE INTERSECT","COLLEGE STATION","TX",,"77845"
"MIDTOWN CITY CENTER SUBDIVISION PHASE 601","TXR1561AF","ON LAKEWAY DRIVE, JUST SOUTHEAST OF THE INTERSECTI","COLLEGE STATION","TX",,"77845"
"MIDTOWN ON LAKEWAY","TXR1523AB","SOUTHEAST OF THE INTERSECTION OF ROCK PRAIRIE ROAD","COLLEGE STATION","TX","9","77845"
"MIDTOWN PARK - OFFSITE","TXR10F9Q0","EAST OF W. CARSON ST. & NORTHERN ST.","BRYAN","TX",,"77802"
"MIDTOWN PARK - OFFSITE","TXR10F9Q7","EAST OF W. CARSON ST. & NORTHERN ST.","BRYAN","TX",,"77802"
"MIDTOWN PARK PH 2 BIGSHOTS ACCESS DRIVE","TXR1571FC","NEC OF FINFEATHER RD AND W VILLA MARIA RD","BRYAN","TX",,"77801"
"MIDTOWN PARK PH 3D - OUTER LOOP TRAIL","TXR1525FV","NORTHEAST CORNER OF FINFEATHER RD AND W VILLA MARI","BRYAN","TX",,"77801"
"MIDTOWN PARK PHASE 1D","TXR1546EG","2200 MIDTOWN PARK BLVD","BRYAN","TX",,"77801"
"MIDTOWN PARK PHASE 8A","TXR1516OD","PROJECT IS LOCATED AT THE NORTHWEST CORNER OF VILL","BRYAN","TX","9","77803"
"MIDTOWN PARK PHASE 9C SIGNAGE","TXR1553NV","100 W VILLA MARIA RD","BRYAN","TX","9","77801-3027"
"MIDTOWN PHASE 301 RESIDENTIAL CONDOS","TXR1524MH","SEC OF MCQUEENY DR AND TOWN LAKES DR","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE 110","TXR1512QT","SOUTH OF GIBBONS WAY & KICKAPOO LN","COLLEGE STATION","TX","9","77845"
"MIDTOWN RESERVE 110","TXR1598QU","SOUTH OF GIBBONS WAY & KICKAPOO LN","COLLEGE STATION","TX","9","77845"
"MIDTOWN RESERVE PHS 107","TXR1561KK","SOUTHEAST OF ROCK PRAIRIE RD AND TOWN LAKE DR","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS 107","TXR1562KK","SOUTHEAST OF ROCK PRAIRIE RD AND TOWN LAKE DR","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS 109 112 & 115","TXR1503NT","EAST OF DOUBLE MOUNTAIN RD AND LADY BIRD LN","COLLEGE STATION","TX","9","77845"
"MIDTOWN RESERVE PHS 109 112 & 115","TXR1534NS","EAST OF DOUBLE MOUNTAIN RD AND LADY BIRD LN","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS 111","TXR1598OE","EAST OF KICKAPOO LN DOUBLE MOUNTAIN RD","COLLEGE STATION","TX","9","77845"
"MIDTOWN RESERVE PHS 111","TXR1597OE","EAST OF KICKAPOO LN DOUBLE MOUNTAIN RD","COLLEGE STATION","TX","9","77845"
"MIDTOWN RESERVE PHS. 100","TXR10F7JR","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS. 100","TXR10F7JO","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS. 106","TXR10F9DN","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS. 106","TXR10F9DQ","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS. 200","TXR10F80J","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS. 200","TXR10F80V","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS. 201","TXR10F80I","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE PHS. 201","TXR10F80F","SE OF ROCK PRAIRIE ROAD & BIRD POND ROAD","COLLEGE STATION","TX",,"77845"
"MIDTOWN RESERVE SUBDIVISION","TXR15867U","THIS PROJECT IS LOCATED SOUTH OF THE INTERSECTION","COLLEGE STATION","TX","9","77845"
"MIDTOWN STATION","TXR1504FJ","SOUTH OF INTERSECTION OF ROCK PRAIRIE RD AND TOWN","COLLEGE STATION","TX",,"77845"
"MIDTOWN SUBDIVISION PHS 109 & 112","TXR1593KJ","WEST OF ROCK PRAIRIE RD & HARRIS DR","COLLEGE STATION","TX",,"77845"
"MIRAMONT","TXR1517BP","3305 LEGACY CT","BRYAN","TX",,"77802"
"MIRAMONT 16","TXR1568QJ","4900 PRINCEVILLE CT","BRYAN","TX","9","77808"
"MIRAMONT PHS 18 & 19","TXR1525MB","SE OF FM 11179 & BOONVILLE RD","BRYAN","TX",,"77802"
"MIRAMONT PHS 18 & 19","TXR1509MC","SE OF FM 11179 & BOONVILLE RD","BRYAN","TX",,"77802"
"MIRAMONT SEC 19","TXR1556KG","COPPERFIELD DRIVE AND MIRAVISTA CT","BRYAN","TX",,"77802"
"MIRAMONT SEC. 7","TXR10F8FO","NE OF BOONVILLE ROAD & TESORI DRIVE","BRYAN","TX",,"77802"
"MIRAMONT SEC. 7","TXR10F8FS","NE OF BOONVILLE ROAD & TESORI DRIVE","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1515IZ","5107 INVERNESS DR","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1518EH","5202 BOURRONE CT","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1523HA","4717 CONCORDIA DR","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1544EW","LOCATED AT THE INTERSECTION OF MIRAMONT BOULEVARD","BRYAN","TX","9","77802"
"MIRAMONT SUBDIVISION","TXR15476X","LOCATED AT THE INTERSECTION OF MIRAMONT BOULEVARD","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1536DM","LOCATED AT THE INTERSECTION OF MIRAMONT BOULEVARD","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1570GB","LOCATED AT THE INTERSECTION OF MIRAMONT BOULEVARD","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1563HT","4211 TUSCANY CT","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1583FC","LOCATED AT THE INTERSECTION OF MIRAMONT BOULEVARD","BRYAN","TX",,"77802"
"MIRAMONT SUBDIVISION","TXR1511BM","5121 MIRAMONT CIR","BRYAN","TX","9","77802-1791"
"MIRAMONT SUBDIVISION PHASE 7","TXR15626Z","FROM HWY 6 & FM 158 BOONEVILLE ROAD GO EAST. TURN","BRYAN","TX",,"77802"
"MIRAVIST COURT","TXR1566FU","4813 MIRAVISTA CT","BRYAN","TX",,"77802"
"MISSION RANCH","TXR1515ML","3701 COOPER CT","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHASE 101","TXR15671R","SOUTHWEST OF THE INTERSECTION OF HOLLEMAN DRIVE SO","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHASE 4","TXR15141U","APPROX. 850 FEET WEST OF THE INTERSECTION OF HOLLE","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHASE 402","TXR1508DA","JOB SITE IS LOCATED AT THE END OF HARDIN HILLS DR.","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 105","TXR1556LF","SOUTHWEST OF DEACON DRIVE WEST & HOLLEMAN DRIVE SO","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 105","TXR1520LF","SOUTHWEST OF DEACON DRIVE WEST & HOLLEMAN DRIVE SO","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 203","TXR1528KH","NW OF ANDERSON ARBOR CT & KERR VALLEY LN","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 203","TXR1549JX","NW OF ANDERSON ARBOR CT & KERR VALLEY LN","COLLEGE STATION","TX","9","77845"
"MISSION RANCH PHS 203","TXR1504OA","NW OF ANDERSON ARBOR CT & KERR VALLEY LN","COLLEGE STATION","TX","9","77845"
"MISSION RANCH PHS 303","TXR1546LJ","NW OF ABBATE RD & HOLLEMAN DR S","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 303","TXR1566LJ","NW OF ABBATE RD & HOLLEMAN DR S","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 403","TXR1547LL","SOUTH OF SHERRILL COURT & SIENNA SPRINGS DRIVE","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 403","TXR1571LK","SOUTH OF SHERRILL COURT & SIENNA SPRINGS DRIVE","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS 504","TXR1590PO","NORTH OF BRISCOE MANOR CT & FEATHER RUN","COLLEGE STATION","TX","9","77845"
"MISSION RANCH PHS 504","TXR1532PO","NORTH OF BRISCOE MANOR CT & FEATHER RUN","COLLEGE STATION","TX","9","77845"
"MISSION RANCH PHS. 1","TXR10F5TT","SE OF MISSION RANCH DR. & FEATHER RUN","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 1","TXR10F5TD","SE OF MISSION RANCH DR. & FEATHER RUN","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 103","TXR10F93K","NW OF ROCK PRAIRIE RD WEST & HOLLEMAN DR. SOUTH","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 103","TXR10F93Z","NW OF ROCK PRAIRIE RD WEST & HOLLEMAN DR. SOUTH","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 200","TXR10F9HY","NW OF ABBATE RD & HOLLEMAN DR. SOUTH","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 200","TXR10F9FG","NW OF ABBATE RD & HOLLEMAN DR. SOUTH","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 402","TXR10F8PP","NW OF ROCK PRAIRIE RD W. & HOLLEMAN DR. S.","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 402","TXR10F8PS","NW OF ROCK PRAIRIE RD W. & HOLLEMAN DR. S.","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 501","TXR10F9SB","NW OF ABBATE RD & HOLLEMAN DR S","COLLEGE STATION","TX",,"77845"
"MISSION RANCH PHS. 501","TXR10F9RV","NW OF ABBATE RD & HOLLEMAN DR S","COLLEGE STATION","TX",,"77845"
"MISSION RANCH SUBDIVISION PHS 104","TXR1592JN","SOUTHEAST OF SIENNA SPRINGS DR & FEATHER RUN","COLLEGE STATION","TX",,"77845"
"MISSION RANCH SUBDIVISION PHS 104","TXR1524JO","SOUTHEAST OF SIENNA SPRINGS DR & FEATHER RUN","COLLEGE STATION","TX",,"77845"
"MISSION RANCH SUBDIVISION PHS 502 & 503","TXR1558IX","NORTHWEST OF BEXAR BLUFF PASS & FEATHER RUN","COLLEGE STATION","TX",,"77845"
"MISSION RANCH SUBDIVISION PHS 502 & 503","TXR1559IX","NORTHWEST OF BEXAR BLUFF PASS & FEATHER RUN","COLLEGE STATION","TX",,"77845"
"MORGAN SERVICES - CW SITE","TXR1505QP","CORNER OF HOLLMAN DRIVE E AND DARTMOUTH STREET","COLLEGE STATION","TX","9","77845"
"MOVIE BOWL GRILLE","TXR1584NN","NORTH OF W VILLA MARIA RD AND MIDTOWN PARK BLVD","BRYAN","TX",,"77801"
"MOVIE BOWL GRILLE","TXR1541NM","NORTH OF W VILLA MARIA RD AND MIDTOWN PARK BLVD","BRYAN","TX",,"77801"
"MTR - OFFSITE","TXR10F6WP","EAST OF ROCK PRAIRIE ROAD & MEDICAL AVENUE","COLLAGE STATION","TX",,"77845"
"MTR - OFFSITE","TXR10F6X2","EAST OF ROCK PRAIRIE ROAD AND MEDICAL AVENUE","COLLEGE STATION","TX",,"77845"
"MULTI-SPECIES FACILITY","TXR15005N","THE PROJECT SITE IS LOCATED AT CORNER OF FM 60 UNI","COLLEGE STATION","TX",,"77840"
"NANTUCKET LIMITED","TX0120332","SE COLLEGE STATION ST HWY 6","COLLEGE STATION","TX","09","77845"
"NATIONAL EQUIPMENT CORP - NEW FACILITY","TXR1549BV","5977 IMPERIAL LOOP","COLLEGE STATION","TX",,"77845"
"NECO","TXR15231Z","3120 CORSAIR CIR","COLLEGE STATION","TX",,"77845"
"NEW HEIGHTS CHURCH","TXR1520HB","8125 TURKEY CREEK RD","COLLEGE STATION","TX",,"77845"
"NORTH AMERICA PACKAGING","TXR05FP17","1591 N HARVEY MITCHELL PKWY","BRYAN","TX",,"77803-2068"
"NORTH AMERICA PACKAGING","TXR05W509","1591 N HARVEY MITCHELL PKWY","BRYAN","TX",,"77803-2068"
"NORTH CAMPUS SUBDIVISION - PHASE 2","TXR1580JI","NEC OF CHAKETT COURT AND MOBILE AVENUE","BRYAN","TX",,"77801"
"NORTH GREEN STRIP CENTER","TXR10FA3M","NE OF ARRINGTON ROAD & WILLIAM D. FITCH PKWY","COLLEGE STATION","TX",,"77845"
"NORTH GREEN STRIP CENTER","TXR1571FQ","937 WILLIAM D FITCH PKWY","COLLEGE STATION","TX",,"77845"
"NORTH GREEN STRIP CENTER","TXR10FA3G","NE OF ARRINGTON ROAD & WILLIAM D. FITCH PKWY","COLLEGE STATION","TX",,"77845"
"NORTHCREST COTTAGES","TXR1534CB","1926 BASIL COURT","BRYAN","TX",,"77801"
"NORTHCREST COTTAGES","TXR1568FX","1902 BASIL CT","BRYAN","TX",,"77801"
"NORTHCREST COTTAGES","TXR1571FZ","1902 BASIL CT","BRYAN","TX",,"77801"
"NORTHCREST COTTAGES","TXR1540AH","1926 BASIL COURT","BRYAN","TX",,"77801"
"NORTHEAST SANITARY SEWER TRUNK LINE PHASE 2","TXR1562AF","BEGINNING AT CARTERS CREEK WWTP AND HEADING NORTHW","COLLEGE STATION","TX",,"77845"
"NSC IMPROVEMENTS","TXR15367Q","1095 NUCLEAR SCIENCE CENTER ROAD","COLLEGE STATION","TX",,"77843-0001"
"NUCLEAR ENGINEERING EDUCATION BUILDING","TXR1532MY","1183 FISHTANK ROAD","COLLEGE STATION","TX",,"77843"
"NUCLEAR SCIENCE CENTER","TX0116912","1MI SW INTX FM 2818 AND GEORGE BUSH","COLLEGE STATION","TX","09","77843"
"OAKMONT - ALL PHASES","TXR15582S","APPROXIMATELY 1/2 MILE WEST OF UNIVERSITY DRIVE ON","BRYAN","TX",,"77802"
"OAKMONT - ALL PHASES","TXR1519CM","APPROXIMATELY 1/2 MILE WEST OF UNIVERSITY DRIVE ON","BRYAN","TX",,"77802"
"OAKMONT 3B","TXR1593LH","THE INTERSECTION OF GREENSTONE WAY AND KEBLER PASS","BRYAN","TX",,"77802"
"OAKMONT 4A","TXR1596LH","THE INTERSECTION OF COPPERFIELD DR AND PACIFIC CRE","BRYAN","TX",,"77802"
"OAKMONT 4C","TXR1531PL","INTERSECTION OF KEBLER PASS AND GREENSTONE WAY","BRYAN","TX","9","77808"
"OAKMONT 5","TXR1569LM","THE INTERSECTION OF BEACON HEIGHTS DR AND APPALACH","BRYAN","TX",,"77802"
"OAKMONT AMENITY CENTER","TXR1564DB","5125 OAKMONT BLVD","BRYAN","TX",,"77802"
"OAKMONT PH2B","TXR1530BR","APPROX 25 ACRES KNOWN AS OAKMONT SUBDIVISION PH2B","BRYAN","TX",,"77802"
"OAKMONT PHASE 2A","TXR1562BL","BEGIN AT THE INTERSECTION OF PENDLETON DRIVE AND B","BRYAN","TX",,"77802"
"OAKMONT PHS 2C","TXR1585PN","NORTH OF APPALACHIAN TRL & BEACON HEIGHTS DR","BRYAN","TX","9","77802"
"OAKMONT PHS 2C","TXR1566PN","NORTH OF APPALACHIAN TRL & BEACON HEIGHTS DR","BRYAN","TX","9","77802"
"OAKMONT PHS 3A","TXR1545IE","SOUTHWEST OF TIMBERTON DR & CANTERBURY DR","BRYAN","TX",,"77802"
"OAKMONT PHS 4B","TXR1533PO","NORTHEAST OF KEBBLER PASS & GREENSTONE WAY","BRYAN","TX","9","77802"
"OAKMONT PHS 4B","TXR1591PO","NORTHEAST OF KEBBLER PASS & GREENSTONE WAY","BRYAN","TX","9","77802"
"OAKMONT PHS. 1A","TXR10F5N3","E. OF COPPERFIELD DRIVE AND BOONVILLE ROAD","BYRAN","TX",,"77802"
"OAKMONT PHS. 1A","TXR10F5MZ","EAST OF COPPERFIELD DRIVE AND BOONVILLE ROAD","BRYAN","TX",,"77802"
"OAKMONT PHS. 1B","TXR10F5MY","EAST OF COPPERFIELD DRIVE AND BOONVILLE ROAD","BRYAN","TX",,"77802"
"OAKMONT PHS. 1B","TXR10F5N7","E. OF COPPERFIELD DR. AND BOONVILLE ROAD","BRYAN","TX",,"77802"
"OAKMONT PHS. 2A","TXR10F8CH","NW OF PRECIPICE DR. & MAROON CREEK DRIVE","BRYAN","TX",,"77802"
"OAKMONT PHS. 2A","TXR10F8C4","NW OF PRECIPICE DR. & MAROON CREEK DRIVE","BRYAN","TX",,"77802"
"OAKMONT PHS. 2B","TXR10F97W","NW OF PRECIPICE DRIVE & MAROON CREEK DRIVE","BRYAN","TX",,"77802"
"OAKMONT PHS. 2B","TXR10F98N","NW OF PRECIPICE DRIVE & MAROON CREEK DRIVE","BRYAN","TX",,"77802"
"OAKMONT SUBDIVISION ALL PHASES","TXR15747V","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1 2","BRYAN","TX","9","77802"
"OAKMONT SUBDIVISION ALL PHASES","TXR15549Z","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1 2","BRYAN","TX","9","77802"
"OAKMONT SUBDIVISION ALL PHASES","TXR15673W","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1 2","BRYAN","TX","9","77802"
"OAKMONT SUBDIVISION PHASE","TXR15674W","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1/2","BRYAN","TX",,"77802"
"OAKMONT SUBDIVISION PHASE 1B","TXR15909Y","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1/2","BRYAN","TX",,"77802"
"OAKMONT SUBDIVISION PHASE 1B","TXR15292Y","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1/2","BRYAN","TX",,"77802"
"OAKMONT SUBDIVISION PHASE 1B","TXR1541AM","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1/2","BRYAN","TX",,"77802"
"OAKMONT SUBDIVISION PHASE 1B","TXR1584AY","SUBDIVISION ENTRANCE IS LOCATED APPROXIMATELY 1/2","BRYAN","TX",,"77802"
"OAKMONT TOWNHOMES","TXR1596DV","5007 MOONEY FALLS DR","BRYAN","TX",,"77802"
"OAKS AT VILLA MARIA","TXR1560CQ","1305 W VILLA MARIA RD","BRYAN","TX",,"77801"
"OLD HEARNE ROAD PHASE 1","TXR1548IF","OLD HEARNE ROAD FROM N SIMS AVE TO THE INTER SECTI","BRYAN","TX","9","77803"
"OLD RELIANCE AND HIGHWAY 6 PROPERTY","TXR1501CO","NORTH CORNER OF HWY 6 FEEDER ROAD AND OLD RELIANCE","BRYAN","TX",,"77808"
"OLD RELIANCE ROAD","TXR1544NA","SITE IS LOCATED ALONG OLD RELIANCE ROAD FROM THE C","BRYAN","TX",,"77808"
"OLSEN BLVD REPAIRS","TXR1564PH","ALONG OLSEN BLVD, JUST NORTH OF JOHN KIMBROUGH BLV","COLLEGE STATION","TX","9","77845"
"OPIFEX-BRYAN NEW BUILD PROJECT","TXR1515QS","2306 SH 21","BRYAN","TX","9","77803"
"OQUINN","TXR1558GS","3215 ELM CREEK CT","BRYAN","TX",,"77807"
"PALASOTA DR - PHASE I","TXR1532DB","LOCATED ALONG PALASOTA DRIVE, FROM THE COTTONWOOD","BRYAN","TX",,"77802"
"PANDA EXPRESS BRYAN TEXAS","TXR1565CC","AT OR AROUND 2200 BRIARCREST DRIVE","BRYAN","TX",,"77802"
"PARK HUDSON CONDOS PHASE 2","TXR1564CF","INTERSECTION OF CROSS PARK DRIVE AND BOONVILLE ROA","BRYAN","TX",,"77802"
"PARK HUDSON PHASE 12 CONDOS - PHASE 2","TXR1512CG","4089 CROSS PARK DR","BRYAN","TX",,"77802"
"PAULL ALLERGY CLINIC","TXR15749Z","SITE LOCATED ON HARVEY ROAD APPROXIMATELY 1.2 MILE","COLLEGE STATION","TX","9","77845"
"PFREHM RESIDENCE","TXR15905P","4717 MIRAMONT CIR","BRYAN","TX",,"77802-1709"
"PHILLIPS SPECIALTY PRODUCTS","TXR05BI74","1331 INDEPENDENCE AVE","BRYAN","TX",,"77803-2046"
"PHILLIPS SQUARE PHASES 1 AND 2","TXR1541QE","NEC OF WILLIAM D FITCH PKWY AND VICTORIA AVENUE","COLLEGE STATION","TX","9","77845"
"POLO GARAGE","TXR15780V","PROJECT LOCATED ON POLO ROAD NEXT TO THE ENGINEERI","COLLEGE STATION","TX",,"77842"
"POLO ROAD RECONSTRUCTION","TXR1558CG","POLO ROAD ON TEXAS A&M UNIVERSITY CAMPUS","COLLEGE STATION","TX",,"77840"
"POPSTROKE","TXR1578QS","255 BALL STREET","COLLEGE STATION","TX","9","77840"
