"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"GOOSENECK TRAILER MFG","TXR05Z267","4400 HIGHWAY 21 E","BRYAN","TX",,"77808-0947"
"GOURD CREEK SUBDIVISION","TXR1594PY","6301 CHICK LN, BRYAN, TX 77807. THIS ADDRESS IS IN","BRYAN","TX","9","77808"
"GREAT ESCAPES AT BRYAN","TXR1541BY","4600 LEONARD RD","BRYAN","TX",,"77807"
"GREAT ESCAPES OF BRYAN","TXR1554CU","INTERSECTION OF LEONARD RD AND CHICK LN","BRYAN","TX",,"77807"
"GREEN BRANCH PH 67A","TXR15607V","START AT THE INTERSECTION OF FM 1179 AND STEEP HOL","BRYAN","TX",,"77808"
"GREEN BRANCH PH 7B","TXR1597GB","9471 STEEP HOLLOW RD","BRYAN","TX",,"77808"
"GREEN BRANCH RIDGE SUBDIVISION","TXR1545HN","7866 LAKECREST CT","BRYAN","TX",,"77808"
"GREENBRIAR PHASE 16","TXR15205U","LOCATED NEAR THE CORNER OF INTERSECTION OF THORNBE","BRYAN","TX",,"77802"
"GREENBRIAR PHS. 14","TXR10F5JN","NORTH OF THRONEBERRY DR. AND RIVER ROCK DR.","BRYAN","TX",,"77080"
"GREENBRIAR PHS. 14","TXR10F5JE","NORTH OF THRONEBERRY DRIVE AND RIVER ROCK DRIVE","BRYAN","TX",,"77808"
"GREENBRIER HOA AREAS","TXR1524HB","VARIOUS LOCATIONS WITHIN GREENBRIER SUBDIVISION","BRYAN","TX",,"77808"
"GREENBRIER PH 7 & 11","TXR1561FU","RIVER VALLEY DRIVE WILL BE EXTENDED OUT AND EVENTU","BRYAN","TX",,"77808"
"GREENBRIER PHASE 2B","TXR1552HB","GREENBRIER PHASE 2B WILL EXTEND CHANTILLY PATH TO","BRYAN","TX",,"77808"
"GREENBRIER PHS 2B","TXR1540JI","NORTHEAST OF FOXCROFT PATH & FAIRHOPE WAY","BRYAN","TX",,"77808"
"GREENBRIER PHS 2B","TXR1512JJ","NORTHEAST OF FOXCROFT PATH & FAIRHOPE WAY","BRYAN","TX",,"77808"
"GREENBRIER PHS. 16","TXR10F6WQ","WEST OF THORNBERRY DRIVE AND RIVER ROCK DRIVE","BRYAN","TX",,"77808"
"GREENBRIER PHS. 16","TXR10F6X3","WEST OF THORNBERRY DRIVE AND RIVER ROCK DRIVE","BRYAN","TX",,"77808"
"GREENBRIER PHS. 6B","TXR10F5O9","NORTH OF THORNBERRY DRIVE AND FAIRFAX GREEN","BRYAN","TX",,"77808"
"GREENBRIER PHS. 6B","TXR10F5OC","NORTH OF THORNBERRY DRIVE AND FAIRFAX GREEN","BRYAN","TX",,"77808"
"GREENBRIER PHS. 7 & 11","TXR10F9RU","NW OF BOONVILLE RD & FM 1179 RD","BRYAN","TX",,"77808"
"GREENBRIER PHS. 7 & 11","TXR10F9S8","NW OF BOONVILLE RD & FM 1179 RD","BRYAN","TX",,"77808"
"GREENBRIER SEWER EXTENSION BRYAN JOB NO 411-D4-1607","TXR1545AG","1000FT NORTHWEST OF THE INTERSECTION OF THORNBERRY","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION","TXR1570IA","3268 ROSE HILL LN","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR1526EJ","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15291Y","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR1578BX","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15229M","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX","9","77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15138F","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15808A","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15034Q","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15618N","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15057L","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR1558ES","3242 ARUNDALA WAY","BRYAN","TX",,"77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR1558CR","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
